"","Account_status","Duration","Credit_history","Purpose","Credit_amount","Savings_bonds","Present_employment_since","Installment_rate","Other_debtors_guarantors","Resident_since","Property","Age","Other_installment_plans","Housing","Existing_credits","Job","People_maintenance_for","Telephone","Foreign_worker","Credit_risk","Gender"
"761","no checking account",15,"critical account / other credits existing (not at this bank)","car (new)",5045,"unknown / no savings account",">= 7 years",1,"none",4,"car or other",59,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Male"
"762","< 0 DM",18,"critical account / other credits existing (not at this bank)","furniture / equipment",2124,"< 100 DM","1  <= ... < 4 years",4,"none",4,"real estate",24,"none","rent",2,"skilled employee / official",1,"none","yes",0,"Male"
"763","< 0 DM",12,"existing credits paid back duly till now","radio / television",2214,"< 100 DM","1  <= ... < 4 years",4,"none",3,"building society savings agreement / life insurance",24,"none","own",1,"unskilled - resident",1,"none","yes",1,"Female"
"764","no checking account",21,"critical account / other credits existing (not at this bank)","car (new)",12680,"unknown / no savings account",">= 7 years",4,"none",4,"unknown / no property",30,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",0,"Female"
"765","no checking account",24,"critical account / other credits existing (not at this bank)","car (new)",2463,"100 <= ... <  500 DM","4  <= ... < 7 years",4,"none",3,"building society savings agreement / life insurance",27,"none","own",2,"skilled employee / official",1,"yes","yes",1,"Female"
"766","0 < ... <  200 DM",12,"existing credits paid back duly till now","radio / television",1155,"< 100 DM",">= 7 years",3,"guarantor",3,"real estate",40,"bank","own",2,"unskilled - resident",1,"none","yes",1,"Female"
"767","< 0 DM",30,"existing credits paid back duly till now","furniture / equipment",3108,"< 100 DM","< 1 year",2,"none",4,"building society savings agreement / life insurance",31,"none","own",1,"unskilled - resident",1,"none","yes",0,"Female"
"768","no checking account",10,"existing credits paid back duly till now","car (used)",2901,"unknown / no savings account","< 1 year",1,"none",4,"real estate",31,"none","rent",1,"skilled employee / official",1,"none","yes",1,"Male"
"769","0 < ... <  200 DM",12,"critical account / other credits existing (not at this bank)","furniture / equipment",3617,"< 100 DM",">= 7 years",1,"none",4,"car or other",28,"none","rent",3,"skilled employee / official",1,"yes","yes",1,"Female"
"770","no checking account",12,"critical account / other credits existing (not at this bank)","radio / television",1655,"< 100 DM",">= 7 years",2,"none",4,"real estate",63,"none","own",2,"unskilled - resident",1,"yes","yes",1,"Female"
"771","< 0 DM",24,"existing credits paid back duly till now","car (used)",2812,"unknown / no savings account",">= 7 years",2,"none",4,"real estate",26,"none","rent",1,"skilled employee / official",1,"none","yes",1,"Male"
"772","< 0 DM",36,"critical account / other credits existing (not at this bank)","education",8065,"< 100 DM","1  <= ... < 4 years",3,"none",2,"unknown / no property",25,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes","yes",0,"Male"
"773","no checking account",21,"critical account / other credits existing (not at this bank)","car (used)",3275,"< 100 DM",">= 7 years",1,"none",4,"car or other",36,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Female"
"774","no checking account",24,"critical account / other credits existing (not at this bank)","radio / television",2223,"100 <= ... <  500 DM",">= 7 years",4,"none",4,"building society savings agreement / life insurance",52,"bank","own",2,"skilled employee / official",1,"none","yes",1,"Female"
"775",">= 200 DM",12,"critical account / other credits existing (not at this bank)","car (new)",1480,"500 <= ... < 1000 DM","unemployed",2,"none",4,"unknown / no property",66,"bank","for free",3,"unemployed / unskilled  - non-resident",1,"none","yes",1,"Female"
"776","< 0 DM",24,"existing credits paid back duly till now","car (new)",1371,"unknown / no savings account","1  <= ... < 4 years",4,"none",4,"real estate",25,"none","rent",1,"skilled employee / official",1,"none","yes",0,"Male"
"777","no checking account",36,"critical account / other credits existing (not at this bank)","car (new)",3535,"< 100 DM","4  <= ... < 7 years",4,"none",4,"car or other",37,"none","own",2,"skilled employee / official",1,"yes","yes",1,"Female"
"778","< 0 DM",18,"existing credits paid back duly till now","radio / television",3509,"< 100 DM","4  <= ... < 7 years",4,"guarantor",1,"real estate",25,"none","own",1,"skilled employee / official",1,"none","yes",1,"Male"
"779","no checking account",36,"critical account / other credits existing (not at this bank)","car (used)",5711,">= 1000 DM",">= 7 years",4,"none",2,"car or other",38,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Female"
"780","0 < ... <  200 DM",18,"existing credits paid back duly till now","repairs",3872,"< 100 DM","unemployed",2,"none",4,"car or other",67,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Male"
"781","0 < ... <  200 DM",39,"critical account / other credits existing (not at this bank)","radio / television",4933,"< 100 DM","4  <= ... < 7 years",2,"guarantor",2,"real estate",25,"none","own",2,"skilled employee / official",1,"none","yes",0,"Female"
"782","no checking account",24,"critical account / other credits existing (not at this bank)","car (new)",1940,">= 1000 DM",">= 7 years",4,"none",4,"real estate",60,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"783","0 < ... <  200 DM",12,"no credits taken / all credits paid back duly","retrainin",1410,"< 100 DM","1  <= ... < 4 years",2,"none",2,"real estate",31,"none","own",1,"unskilled - resident",1,"yes","yes",1,"Female"
"784","0 < ... <  200 DM",12,"existing credits paid back duly till now","car (new)",836,"100 <= ... <  500 DM","< 1 year",4,"none",2,"building society savings agreement / life insurance",23,"bank","own",1,"unskilled - resident",1,"none","yes",0,"Male"
"785","0 < ... <  200 DM",20,"existing credits paid back duly till now","car (used)",6468,"unknown / no savings account","unemployed",1,"none",4,"real estate",60,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Female"
"786","0 < ... <  200 DM",18,"existing credits paid back duly till now","business",1941,">= 1000 DM","1  <= ... < 4 years",4,"none",2,"building society savings agreement / life insurance",35,"none","own",1,"unskilled - resident",1,"yes","yes",1,"Female"
"787","no checking account",22,"existing credits paid back duly till now","radio / television",2675,"500 <= ... < 1000 DM",">= 7 years",3,"none",4,"car or other",40,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"788","no checking account",48,"critical account / other credits existing (not at this bank)","car (used)",2751,"unknown / no savings account",">= 7 years",4,"none",3,"car or other",38,"none","own",2,"skilled employee / official",2,"yes","yes",1,"Female"
"789","0 < ... <  200 DM",48,"delay in paying off in the past","education",6224,"< 100 DM",">= 7 years",4,"none",4,"unknown / no property",50,"none","for free",1,"skilled employee / official",1,"none","yes",0,"Female"
"790","< 0 DM",40,"critical account / other credits existing (not at this bank)","education",5998,"< 100 DM","1  <= ... < 4 years",4,"none",3,"unknown / no property",27,"bank","own",1,"skilled employee / official",1,"yes","yes",0,"Female"
"791","0 < ... <  200 DM",21,"existing credits paid back duly till now","business",1188,"< 100 DM",">= 7 years",2,"none",4,"building society savings agreement / life insurance",39,"none","own",1,"skilled employee / official",2,"none","yes",0,"Male"
"792","no checking account",24,"existing credits paid back duly till now","car (used)",6313,"unknown / no savings account",">= 7 years",3,"none",4,"car or other",41,"none","own",1,"management / self-employed / highly qualified employee / officer",2,"yes","yes",1,"Female"
"793","no checking account",6,"critical account / other credits existing (not at this bank)","furniture / equipment",1221,"unknown / no savings account","1  <= ... < 4 years",1,"none",2,"building society savings agreement / life insurance",27,"none","own",2,"skilled employee / official",1,"none","yes",1,"Female"
"794",">= 200 DM",24,"existing credits paid back duly till now","furniture / equipment",2892,"< 100 DM",">= 7 years",3,"none",4,"unknown / no property",51,"none","for free",1,"skilled employee / official",1,"none","yes",1,"Female"
"795","no checking account",24,"existing credits paid back duly till now","furniture / equipment",3062,"500 <= ... < 1000 DM",">= 7 years",4,"none",3,"unknown / no property",32,"none","rent",1,"skilled employee / official",1,"yes","yes",1,"Female"
"796","no checking account",9,"existing credits paid back duly till now","furniture / equipment",2301,"100 <= ... <  500 DM","< 1 year",2,"none",4,"building society savings agreement / life insurance",22,"none","rent",1,"skilled employee / official",1,"none","yes",1,"Male"
"797","< 0 DM",18,"existing credits paid back duly till now","car (used)",7511,"unknown / no savings account",">= 7 years",1,"none",4,"building society savings agreement / life insurance",51,"none","for free",1,"skilled employee / official",2,"yes","yes",0,"Female"
"798","no checking account",12,"critical account / other credits existing (not at this bank)","furniture / equipment",1258,"< 100 DM","< 1 year",2,"none",4,"building society savings agreement / life insurance",22,"none","rent",2,"unskilled - resident",1,"none","yes",1,"Male"
"799","no checking account",24,"delay in paying off in the past","car (new)",717,"unknown / no savings account",">= 7 years",4,"none",4,"car or other",54,"none","own",2,"skilled employee / official",1,"yes","yes",1,"Female"
"800","0 < ... <  200 DM",9,"existing credits paid back duly till now","car (new)",1549,"unknown / no savings account","< 1 year",4,"none",2,"real estate",35,"none","own",1,"unemployed / unskilled  - non-resident",1,"none","yes",1,"Female"
"801","no checking account",24,"critical account / other credits existing (not at this bank)","education",1597,"< 100 DM",">= 7 years",4,"none",4,"unknown / no property",54,"none","for free",2,"skilled employee / official",2,"none","yes",1,"Female"
"802","0 < ... <  200 DM",18,"critical account / other credits existing (not at this bank)","radio / television",1795,"< 100 DM",">= 7 years",3,"guarantor",4,"real estate",48,"bank","rent",2,"unskilled - resident",1,"yes","yes",1,"Male"
"803","< 0 DM",20,"critical account / other credits existing (not at this bank)","furniture / equipment",4272,"< 100 DM",">= 7 years",1,"none",4,"building society savings agreement / life insurance",24,"none","own",2,"skilled employee / official",1,"none","yes",1,"Male"
"804","no checking account",12,"critical account / other credits existing (not at this bank)","radio / television",976,"unknown / no savings account",">= 7 years",4,"none",4,"car or other",35,"none","own",2,"skilled employee / official",1,"none","yes",1,"Female"
"805","0 < ... <  200 DM",12,"existing credits paid back duly till now","car (new)",7472,"unknown / no savings account","unemployed",1,"none",2,"real estate",24,"none","rent",1,"unemployed / unskilled  - non-resident",1,"none","yes",1,"Male"
"806","< 0 DM",36,"existing credits paid back duly till now","car (new)",9271,"< 100 DM","4  <= ... < 7 years",2,"none",1,"car or other",24,"none","own",1,"skilled employee / official",1,"yes","yes",0,"Female"
"807","0 < ... <  200 DM",6,"existing credits paid back duly till now","radio / television",590,"< 100 DM","< 1 year",3,"none",3,"real estate",26,"none","own",1,"unskilled - resident",1,"none","no",1,"Female"
"808","no checking account",12,"critical account / other credits existing (not at this bank)","radio / television",930,"unknown / no savings account",">= 7 years",4,"none",4,"real estate",65,"none","own",4,"skilled employee / official",1,"none","yes",1,"Female"
"809","0 < ... <  200 DM",42,"all credits at this bank paid back duly","car (used)",9283,"< 100 DM","unemployed",1,"none",2,"unknown / no property",55,"bank","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Female"
"810","0 < ... <  200 DM",15,"no credits taken / all credits paid back duly","car (new)",1778,"< 100 DM","< 1 year",2,"none",1,"real estate",26,"none","rent",2,"unemployed / unskilled  - non-resident",1,"none","yes",0,"Male"
"811","0 < ... <  200 DM",8,"existing credits paid back duly till now","business",907,"< 100 DM","< 1 year",3,"none",2,"real estate",26,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"812","0 < ... <  200 DM",6,"existing credits paid back duly till now","radio / television",484,"< 100 DM","4  <= ... < 7 years",3,"guarantor",3,"real estate",28,"bank","own",1,"unskilled - resident",1,"none","yes",1,"Female"
"813","< 0 DM",36,"critical account / other credits existing (not at this bank)","car (used)",9629,"< 100 DM","4  <= ... < 7 years",4,"none",4,"car or other",24,"none","own",2,"skilled employee / official",1,"yes","yes",0,"Female"
"814","< 0 DM",48,"existing credits paid back duly till now","domestic appliances",3051,"< 100 DM","1  <= ... < 4 years",3,"none",4,"car or other",54,"none","own",1,"skilled employee / official",1,"none","yes",0,"Female"
"815","< 0 DM",48,"existing credits paid back duly till now","car (new)",3931,"< 100 DM","4  <= ... < 7 years",4,"none",4,"unknown / no property",46,"none","for free",1,"skilled employee / official",2,"none","yes",0,"Female"
"816","0 < ... <  200 DM",36,"delay in paying off in the past","car (new)",7432,"< 100 DM","1  <= ... < 4 years",2,"none",2,"building society savings agreement / life insurance",54,"none","rent",1,"skilled employee / official",1,"none","yes",1,"Male"
"817","no checking account",6,"existing credits paid back duly till now","domestic appliances",1338,"500 <= ... < 1000 DM","1  <= ... < 4 years",1,"none",4,"real estate",62,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"818","no checking account",6,"critical account / other credits existing (not at this bank)","radio / television",1554,"< 100 DM","4  <= ... < 7 years",1,"none",2,"car or other",24,"none","rent",2,"skilled employee / official",1,"yes","yes",1,"Male"
"819","< 0 DM",36,"existing credits paid back duly till now","others",15857,"< 100 DM","unemployed",2,"co-applicant",3,"car or other",43,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"none","yes",1,"Female"
"820","< 0 DM",18,"existing credits paid back duly till now","radio / television",1345,"< 100 DM","1  <= ... < 4 years",4,"none",3,"real estate",26,"bank","own",1,"skilled employee / official",1,"none","yes",0,"Female"
"821","no checking account",12,"existing credits paid back duly till now","car (new)",1101,"< 100 DM","1  <= ... < 4 years",3,"none",2,"real estate",27,"none","own",2,"skilled employee / official",1,"yes","yes",1,"Female"
"822",">= 200 DM",12,"existing credits paid back duly till now","radio / television",3016,"< 100 DM","1  <= ... < 4 years",3,"none",1,"car or other",24,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"823","< 0 DM",36,"existing credits paid back duly till now","furniture / equipment",2712,"< 100 DM",">= 7 years",2,"none",2,"building society savings agreement / life insurance",41,"bank","own",1,"skilled employee / official",2,"none","yes",0,"Female"
"824","< 0 DM",8,"critical account / other credits existing (not at this bank)","car (new)",731,"< 100 DM",">= 7 years",4,"none",4,"real estate",47,"none","own",2,"unskilled - resident",1,"none","yes",1,"Female"
"825","no checking account",18,"critical account / other credits existing (not at this bank)","furniture / equipment",3780,"< 100 DM","< 1 year",3,"none",2,"car or other",35,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Female"
"826","< 0 DM",21,"critical account / other credits existing (not at this bank)","car (new)",1602,"< 100 DM",">= 7 years",4,"none",3,"car or other",30,"none","own",2,"skilled employee / official",1,"yes","yes",1,"Female"
"827","< 0 DM",18,"critical account / other credits existing (not at this bank)","car (new)",3966,"< 100 DM",">= 7 years",1,"none",4,"real estate",33,"bank","rent",3,"skilled employee / official",1,"yes","yes",0,"Male"
"828","no checking account",18,"no credits taken / all credits paid back duly","business",4165,"< 100 DM","1  <= ... < 4 years",2,"none",2,"car or other",36,"stores","own",2,"skilled employee / official",2,"none","yes",0,"Female"
"829","< 0 DM",36,"existing credits paid back duly till now","car (used)",8335,"unknown / no savings account",">= 7 years",3,"none",4,"unknown / no property",47,"none","for free",1,"skilled employee / official",1,"none","yes",0,"Female"
"830","0 < ... <  200 DM",48,"delay in paying off in the past","business",6681,"unknown / no savings account","1  <= ... < 4 years",4,"none",4,"unknown / no property",38,"none","for free",1,"skilled employee / official",2,"yes","yes",1,"Female"
"831","no checking account",24,"delay in paying off in the past","business",2375,"500 <= ... < 1000 DM","1  <= ... < 4 years",4,"none",2,"car or other",44,"none","own",2,"skilled employee / official",2,"yes","yes",1,"Female"
"832","< 0 DM",18,"existing credits paid back duly till now","car (new)",1216,"< 100 DM","< 1 year",4,"none",3,"car or other",23,"none","rent",1,"skilled employee / official",1,"yes","yes",0,"Male"
"833","< 0 DM",45,"no credits taken / all credits paid back duly","business",11816,"< 100 DM",">= 7 years",2,"none",4,"car or other",29,"none","rent",2,"skilled employee / official",1,"none","yes",0,"Female"
"834","0 < ... <  200 DM",24,"existing credits paid back duly till now","radio / television",5084,"unknown / no savings account",">= 7 years",2,"none",4,"car or other",42,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Male"
"835",">= 200 DM",15,"existing credits paid back duly till now","radio / television",2327,"< 100 DM","< 1 year",2,"none",3,"real estate",25,"none","own",1,"unskilled - resident",1,"none","yes",0,"Male"
"836","< 0 DM",12,"no credits taken / all credits paid back duly","car (new)",1082,"< 100 DM","1  <= ... < 4 years",4,"none",4,"car or other",48,"bank","own",2,"skilled employee / official",1,"none","yes",0,"Female"
"837","no checking account",12,"existing credits paid back duly till now","radio / television",886,"unknown / no savings account","1  <= ... < 4 years",4,"none",2,"car or other",21,"none","own",1,"skilled employee / official",1,"none","yes",1,"Male"
"838","no checking account",4,"existing credits paid back duly till now","furniture / equipment",601,"< 100 DM","< 1 year",1,"none",3,"real estate",23,"none","rent",1,"unskilled - resident",2,"none","yes",1,"Male"
"839","< 0 DM",24,"critical account / other credits existing (not at this bank)","car (used)",2957,"< 100 DM",">= 7 years",4,"none",4,"building society savings agreement / life insurance",63,"none","own",2,"skilled employee / official",1,"yes","yes",1,"Female"
"840","no checking account",24,"critical account / other credits existing (not at this bank)","radio / television",2611,"< 100 DM",">= 7 years",4,"co-applicant",3,"real estate",46,"none","own",2,"skilled employee / official",1,"none","yes",1,"Female"
"841","< 0 DM",36,"existing credits paid back duly till now","furniture / equipment",5179,"< 100 DM","4  <= ... < 7 years",4,"none",2,"building society savings agreement / life insurance",29,"none","own",1,"skilled employee / official",1,"none","yes",0,"Female"
"842","no checking account",21,"delay in paying off in the past","car (used)",2993,"< 100 DM","1  <= ... < 4 years",3,"none",2,"real estate",28,"stores","own",2,"unskilled - resident",1,"none","yes",1,"Female"
"843","no checking account",18,"existing credits paid back duly till now","repairs",1943,"< 100 DM","< 1 year",4,"none",4,"real estate",23,"none","own",1,"skilled employee / official",1,"none","yes",0,"Male"
"844","no checking account",24,"all credits at this bank paid back duly","business",1559,"< 100 DM","4  <= ... < 7 years",4,"none",4,"car or other",50,"bank","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"845","no checking account",18,"existing credits paid back duly till now","furniture / equipment",3422,"< 100 DM",">= 7 years",4,"none",4,"building society savings agreement / life insurance",47,"bank","own",3,"skilled employee / official",2,"yes","yes",1,"Female"
"846","0 < ... <  200 DM",21,"existing credits paid back duly till now","furniture / equipment",3976,"unknown / no savings account","4  <= ... < 7 years",2,"none",3,"car or other",35,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"847","no checking account",18,"existing credits paid back duly till now","car (new)",6761,"unknown / no savings account","1  <= ... < 4 years",2,"none",4,"car or other",68,"none","rent",2,"skilled employee / official",1,"none","yes",0,"Female"
"848","no checking account",24,"existing credits paid back duly till now","car (new)",1249,"< 100 DM","< 1 year",4,"none",2,"real estate",28,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"849","< 0 DM",9,"existing credits paid back duly till now","radio / television",1364,"< 100 DM","4  <= ... < 7 years",3,"none",4,"real estate",59,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"850","< 0 DM",12,"existing credits paid back duly till now","radio / television",709,"< 100 DM",">= 7 years",4,"none",4,"real estate",57,"stores","own",1,"unskilled - resident",1,"none","yes",0,"Female"
"851","< 0 DM",20,"critical account / other credits existing (not at this bank)","car (new)",2235,"< 100 DM","1  <= ... < 4 years",4,"guarantor",2,"building society savings agreement / life insurance",33,"bank","rent",2,"skilled employee / official",1,"none","no",0,"Female"
"852","no checking account",24,"critical account / other credits existing (not at this bank)","car (used)",4042,"unknown / no savings account","4  <= ... < 7 years",3,"none",4,"building society savings agreement / life insurance",43,"none","own",2,"skilled employee / official",1,"yes","yes",1,"Female"
"853","no checking account",15,"critical account / other credits existing (not at this bank)","radio / television",1471,"< 100 DM","1  <= ... < 4 years",4,"none",4,"unknown / no property",35,"none","for free",2,"skilled employee / official",1,"yes","yes",1,"Female"
"854","< 0 DM",18,"all credits at this bank paid back duly","car (new)",1442,"< 100 DM","4  <= ... < 7 years",4,"none",4,"unknown / no property",32,"none","for free",2,"unskilled - resident",2,"none","yes",0,"Female"
"855","no checking account",36,"delay in paying off in the past","car (new)",10875,"< 100 DM",">= 7 years",2,"none",2,"car or other",45,"none","own",2,"skilled employee / official",2,"yes","yes",1,"Female"
"856","no checking account",24,"existing credits paid back duly till now","car (new)",1474,"100 <= ... <  500 DM","< 1 year",4,"none",3,"real estate",33,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"857","no checking account",10,"existing credits paid back duly till now","retrainin",894,"unknown / no savings account","4  <= ... < 7 years",4,"none",3,"building society savings agreement / life insurance",40,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Male"
"858","no checking account",15,"critical account / other credits existing (not at this bank)","furniture / equipment",3343,"< 100 DM","1  <= ... < 4 years",4,"none",2,"unknown / no property",28,"none","for free",1,"skilled employee / official",1,"yes","yes",1,"Female"
"859","< 0 DM",15,"existing credits paid back duly till now","car (new)",3959,"< 100 DM","1  <= ... < 4 years",3,"none",2,"building society savings agreement / life insurance",29,"none","own",1,"skilled employee / official",1,"yes","yes",0,"Male"
"860","no checking account",9,"existing credits paid back duly till now","car (new)",3577,"100 <= ... <  500 DM","1  <= ... < 4 years",1,"guarantor",2,"real estate",26,"none","rent",1,"skilled employee / official",2,"none","no",1,"Female"
"861","no checking account",24,"critical account / other credits existing (not at this bank)","car (used)",5804,">= 1000 DM","1  <= ... < 4 years",4,"none",2,"real estate",27,"none","own",2,"skilled employee / official",1,"none","yes",1,"Female"
"862","no checking account",18,"delay in paying off in the past","business",2169,"< 100 DM","1  <= ... < 4 years",4,"none",2,"car or other",28,"none","own",1,"skilled employee / official",1,"yes","yes",0,"Female"
"863","< 0 DM",24,"existing credits paid back duly till now","radio / television",2439,"< 100 DM","< 1 year",4,"none",4,"real estate",35,"none","own",1,"skilled employee / official",1,"yes","yes",0,"Male"
"864","no checking account",27,"critical account / other credits existing (not at this bank)","furniture / equipment",4526,">= 1000 DM","< 1 year",4,"none",2,"real estate",32,"stores","own",2,"unskilled - resident",2,"yes","yes",1,"Female"
"865","no checking account",10,"existing credits paid back duly till now","furniture / equipment",2210,"< 100 DM","1  <= ... < 4 years",2,"none",2,"real estate",25,"bank","rent",1,"unskilled - resident",1,"none","yes",0,"Female"
"866","no checking account",15,"existing credits paid back duly till now","furniture / equipment",2221,"500 <= ... < 1000 DM","1  <= ... < 4 years",2,"none",4,"car or other",20,"none","rent",1,"skilled employee / official",1,"none","yes",1,"Male"
"867","< 0 DM",18,"existing credits paid back duly till now","radio / television",2389,"< 100 DM","< 1 year",4,"none",1,"car or other",27,"stores","own",1,"skilled employee / official",1,"none","yes",1,"Male"
"868","no checking account",12,"critical account / other credits existing (not at this bank)","furniture / equipment",3331,"< 100 DM",">= 7 years",2,"none",4,"building society savings agreement / life insurance",42,"stores","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"869","no checking account",36,"existing credits paid back duly till now","business",7409,"unknown / no savings account",">= 7 years",3,"none",2,"building society savings agreement / life insurance",37,"none","own",2,"skilled employee / official",1,"none","yes",1,"Female"
"870","< 0 DM",12,"existing credits paid back duly till now","furniture / equipment",652,"< 100 DM",">= 7 years",4,"none",4,"building society savings agreement / life insurance",24,"none","rent",1,"skilled employee / official",1,"none","yes",1,"Male"
"871","no checking account",36,"delay in paying off in the past","furniture / equipment",7678,"500 <= ... < 1000 DM","4  <= ... < 7 years",2,"none",4,"car or other",40,"none","own",2,"skilled employee / official",1,"yes","yes",1,"Male"
"872",">= 200 DM",6,"critical account / other credits existing (not at this bank)","car (new)",1343,"< 100 DM",">= 7 years",1,"none",4,"real estate",46,"none","own",2,"skilled employee / official",2,"none","no",1,"Female"
"873","< 0 DM",24,"critical account / other credits existing (not at this bank)","business",1382,"100 <= ... <  500 DM","4  <= ... < 7 years",4,"none",1,"real estate",26,"none","own",2,"skilled employee / official",1,"yes","yes",1,"Female"
"874","no checking account",15,"existing credits paid back duly till now","domestic appliances",874,"unknown / no savings account","< 1 year",4,"none",1,"real estate",24,"none","own",1,"skilled employee / official",1,"none","yes",1,"Male"
"875","< 0 DM",12,"existing credits paid back duly till now","furniture / equipment",3590,"< 100 DM","1  <= ... < 4 years",2,"co-applicant",2,"building society savings agreement / life insurance",29,"none","own",1,"unskilled - resident",2,"none","yes",1,"Female"
"876","0 < ... <  200 DM",11,"critical account / other credits existing (not at this bank)","car (new)",1322,">= 1000 DM","1  <= ... < 4 years",4,"none",4,"car or other",40,"none","own",2,"skilled employee / official",1,"none","yes",1,"Male"
"877","< 0 DM",18,"all credits at this bank paid back duly","radio / television",1940,"< 100 DM","< 1 year",3,"co-applicant",4,"unknown / no property",36,"bank","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Female"
"878","no checking account",36,"existing credits paid back duly till now","radio / television",3595,"< 100 DM",">= 7 years",4,"none",2,"car or other",28,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"879","< 0 DM",9,"existing credits paid back duly till now","car (new)",1422,"< 100 DM","< 1 year",3,"none",2,"unknown / no property",27,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",0,"Female"
"880","no checking account",30,"critical account / other credits existing (not at this bank)","radio / television",6742,"unknown / no savings account","4  <= ... < 7 years",2,"none",3,"building society savings agreement / life insurance",36,"none","own",2,"skilled employee / official",1,"none","yes",1,"Female"
"881","no checking account",24,"existing credits paid back duly till now","car (used)",7814,"< 100 DM","4  <= ... < 7 years",3,"none",3,"car or other",38,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Female"
"882","no checking account",24,"existing credits paid back duly till now","car (used)",9277,"unknown / no savings account","1  <= ... < 4 years",2,"none",4,"unknown / no property",48,"none","for free",1,"skilled employee / official",1,"yes","yes",1,"Female"
"883","0 < ... <  200 DM",30,"critical account / other credits existing (not at this bank)","car (new)",2181,"unknown / no savings account",">= 7 years",4,"none",4,"real estate",36,"none","own",2,"skilled employee / official",1,"none","yes",1,"Female"
"884","no checking account",18,"critical account / other credits existing (not at this bank)","radio / television",1098,"< 100 DM","unemployed",4,"none",4,"car or other",65,"none","own",2,"unemployed / unskilled  - non-resident",1,"none","yes",1,"Male"
"885","0 < ... <  200 DM",24,"existing credits paid back duly till now","furniture / equipment",4057,"< 100 DM","4  <= ... < 7 years",3,"none",3,"car or other",43,"none","own",1,"skilled employee / official",1,"yes","yes",0,"Female"
"886","< 0 DM",12,"existing credits paid back duly till now","education",795,"< 100 DM","< 1 year",4,"none",4,"building society savings agreement / life insurance",53,"none","own",1,"skilled employee / official",1,"none","yes",0,"Male"
"887","0 < ... <  200 DM",24,"critical account / other credits existing (not at this bank)","business",2825,"unknown / no savings account","4  <= ... < 7 years",4,"none",3,"unknown / no property",34,"none","own",2,"skilled employee / official",2,"yes","yes",1,"Female"
"888","0 < ... <  200 DM",48,"existing credits paid back duly till now","business",15672,"< 100 DM","1  <= ... < 4 years",2,"none",2,"car or other",23,"none","own",1,"skilled employee / official",1,"yes","yes",0,"Female"
"889","no checking account",36,"critical account / other credits existing (not at this bank)","car (new)",6614,"< 100 DM",">= 7 years",4,"none",4,"car or other",34,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Female"
"890","no checking account",28,"all credits at this bank paid back duly","car (used)",7824,"unknown / no savings account","< 1 year",3,"guarantor",4,"real estate",40,"bank","rent",2,"skilled employee / official",2,"yes","yes",1,"Female"
"891","< 0 DM",27,"critical account / other credits existing (not at this bank)","business",2442,"< 100 DM",">= 7 years",4,"none",4,"car or other",43,"stores","own",4,"management / self-employed / highly qualified employee / officer",2,"yes","yes",1,"Female"
"892","no checking account",15,"critical account / other credits existing (not at this bank)","radio / television",1829,"< 100 DM",">= 7 years",4,"none",4,"car or other",46,"none","own",2,"skilled employee / official",1,"yes","yes",1,"Female"
"893","< 0 DM",12,"critical account / other credits existing (not at this bank)","car (new)",2171,"< 100 DM","1  <= ... < 4 years",4,"none",4,"building society savings agreement / life insurance",38,"bank","own",2,"unskilled - resident",1,"none","no",1,"Female"
"894","0 < ... <  200 DM",36,"critical account / other credits existing (not at this bank)","car (used)",5800,"< 100 DM","1  <= ... < 4 years",3,"none",4,"car or other",34,"none","own",2,"skilled employee / official",1,"yes","yes",1,"Female"
